check,施設ID,施設名,郵便番号,住所,方書,電話番号,FAX番号,緯度,経度,行政区コード,カテゴリリスト
delta=0.0032,1357,しあわせの村あんしんすこやかセンター,651-1102,北区山田町下谷上字中一里山14-1,介護老人保健施設リハ・神戸1階,078-743-8208,078-743-8305,34.705455,135.115045,北区,高齢者のための施設
,1358,丸山あんしんすこやかセンター,653-0875,長田区丸山町2-2-13,,078-612-5530,078-612-5526,34.684019,135.141293,長田区,高齢者のための施設
,1359,名倉あんしんすこやかセンター,653-0811,長田区大塚町5-1-7,,078-646-0151,078-646-0181,34.673198,135.147196,長田区,高齢者のための施設
,1360,池田宮川あんしんすこやかセンター,653-0812,長田区長田町8-1-9,,078-631-9690,078-631-9630,34.674781,135.145601,長田区,高齢者のための施設
,1361,御蔵あんしんすこやかセンター（西部高齢者介護支援センター）,653-0016,長田区北町3-3,高齢者ケアセンターながた1階,078-575-8835,078-575-8188,34.66551,135.151532,長田区,高齢者のための施設
,1362,西代あんしんすこやかセンター,653-0853,長田区庄山町2-1-5,デイサービスセンターいたやど3階,078-643-4700,078-611-3345,34.662593,135.136458,長田区,高齢者のための施設
,1363,真野真陽あんしんすこやかセンター（長田在宅福祉センター）,653-0036,長田区腕塚町2-1-28,長田在宅福祉センター内,078-611-2020,078-611-2016,34.656571,135.14939,長田区,高齢者のための施設
,1365,白川あんしんすこやかセンター（白川高齢者介護支援センター）,654-0103,須磨区白川台1-35-3,神港園サニーライフ白川内,078-793-8075,078-793-8073,34.689618,135.095159,須磨区,高齢者のための施設
,1366,名谷あんしんすこやかセンター,654-0151,須磨区北落合1-4-36,白川コーポ116,078-797-7988,078-797-7473,34.686401,135.094503,須磨区,高齢者のための施設
delta=0.0011,1367,妙法寺あんしんすこやかセンター,654-0121,須磨区妙法寺字辻298,,078-747-2521,078-747-2560,34.676292,135.109224,須磨区,高齢者のための施設
,1368,名谷南あんしんすこやかセンター,654-0142,須磨区友が丘5-5-191,きたすま在宅福祉支援センター すこやか友が丘2階,078-795-8181,078-797-8054,34.669625,135.089612,須磨区,高齢者のための施設
,1369,東須磨あんしんすこやかセンター,654-0012,須磨区飛松町5-1-22,,078-731-6700,078-731-6715,34.66008,135.131036,須磨区,高齢者のための施設
,1370,離宮あんしんすこやかセンター（離宮高齢者介護支援センター）,654-0067,須磨区離宮西町2-2-3,離宮高齢者介護支援センター1階,078-731-4164,078-739-5751,34.652219,135.115885,須磨区,高齢者のための施設
,1371,たかとりあんしんすこやかセンター（須磨在宅福祉センター）,654-0024,須磨区大田町7-3-15,須磨在宅福祉センター内,078-731-8165,078-736-2294,34.654788,135.131745,須磨区,高齢者のための施設
,1372,西須磨あんしんすこやかセンター,654-0045,須磨区松風町4-2-26,特別養護老人ホーム あいハート須磨1階,078-737-0505,078-737-1165,34.648197,135.12679,須磨区,高齢者のための施設
,1373,桃山台あんしんすこやかセンター,655-0854,垂水区桃山台5-1139-3,特別養護老人ホーム 桃山台ホーム1階,078-751-0706,078-751-7770,34.656982,135.085191,垂水区,高齢者のための施設
delta=0.0049,1374,塩屋あんしんすこやかセンター,655-0872,垂水区塩屋町4-16-10,オーブラン塩屋1階,078-755-2280,078-755-2281,34.639504,135.080803,垂水区,高齢者のための施設
,1375,東垂水あんしんすこやかセンター,655-0872,垂水区塩屋町6-38-8,特別養護老人ホーム ふるさと1階,078-751-4165,078-755-0320,34.636174,135.074006,垂水区,高齢者のための施設
delta=0.0021,1376,垂水名谷あんしんすこやかセンター,655-0852,垂水区名谷町字猿倉273-7,特別養護老人ホーム　オービーホーム新館1階,078-706-9475,078-706-9466,34.648175,135.065398,垂水区,高齢者のための施設
,1377,平磯あんしんすこやかセンター（垂水在宅福祉センター）,655-0892,垂水区平磯1-2-5,垂水年金会館2階,078-751-1299,078-752-2294,34.628091,135.058991,垂水区,高齢者のための施設
,1378,本多聞あんしんすこやかセンター（本多聞高齢者介護支援センター）,655-0006,垂水区本多聞7-2-2,,078-783-5001,078-786-1465,34.651502,135.043455,垂水区,高齢者のための施設
,1379,舞子台あんしんすこやかセンター,655-0046,垂水区舞子台7-3-8,ハートランド舞子台内,078-787-3303,078-787-3308,34.639561,135.037992,垂水区,高齢者のための施設
,1380,神陵台あんしんすこやかセンター,655-0042,垂水区西脇1-4-9-1,くつろぎの家エルフ・神陵台内,078-742-8004,078-784-7272,34.654507,135.037517,垂水区,高齢者のための施設
,1381,ニチイケアセンター舞子,655-0046,垂水区舞子台5-1-19,,078-787-5231,,34.636503,135.031215,垂水区,高齢者のための施設
,1382,押部あんしんすこやかセンター,651-2211,西区押部谷町栄193-4,,078-998-3020,078-998-3023,34.75539,135.05515,西区,高齢者のための施設
,1383,西神南あんしんすこやかセンター,651-2242,西区井吹台東町1-1-1,西神南センタービル1階,078-990-4165,078-990-4166,34.699874,135.031727,西区,高齢者のための施設
,1384,伊川谷あんしんすこやかセンター,651-2104,西区伊川谷町長坂800,特別養護老人ホーム 永栄園1階,078-974-8076,078-974-8176,34.672166,135.033495,西区,高齢者のための施設
,1385,西神中央あんしんすこやかセンター,651-2273,西区糀台5-6-1,西区民センタービル5階,078-996-2376,078-996-2351,34.718461,135.018906,西区,高齢者のための施設
delta=0.0019,1386,神出あんしんすこやかセンター,651-2311,西区神出町東1188-70,神港園敷地内,078-964-2481,078-965-1856,34.758031,135.018564,西区,高齢者のための施設
,1387,岩岡あんしんすこやかセンター,651-2412,西区竜が岡1-3-3,,078-969-2775,078-969-2776,34.709422,134.939116,西区,高齢者のための施設
,1388,平野西神あんしんすこやかセンター（西在宅福祉センター）,651-2276,西区春日台5-174-10,西在宅福祉センター内,078-961-1299,078-961-2140,34.702231,134.988042,西区,高齢者のための施設
,1389,玉津あんしんすこやかセンター,651-2131,西区持子3-3,持子ビル102,078-926-1813,078-926-1814,34.673329,134.981802,西区,高齢者のための施設
,1390,神戸市立魚崎中町デイサービス,658-0083,東灘区魚崎中町4-3-18,,078-452-3562,078-452-3650,34.714006,135.271596,東灘区,高齢者のための施設
,1391,神戸市立住吉南町デイサービスセンター,658-0041,東灘区住吉南町4-6-26,,078-846-7670,078-846-7680,34.710593,135.262242,東灘区,高齢者のための施設
,1392,神戸市立魚崎高齢者介護支援センター,658-0083,東灘区魚崎中町4-10-50,,078-435-6688,078-435-6689,34.715281,135.270324,東灘区,高齢者のための施設
,1393,神戸市立東灘在宅福祉センター,658-0053,東灘区住吉宮町3-4-17,,078-842-1294,078-842-6115,34.716248,135.261222,東灘区,高齢者のための施設
,1394,神戸市立灘在宅福祉センター,657-0041,灘区琵琶町2-1-27,,078-882-1294,078-882-0833,34.711723,135.236768,灘区,高齢者のための施設
,1395,神戸市立大石高齢者介護支援センター,657-0043,灘区大石東町1-2-1,,078-821-3838,078-821-3812,34.709491,135.238367,灘区,高齢者のための施設
,1396,神戸市立灘の浜高齢者介護支援センター,657-0855,灘区摩耶海岸通2-3-9,,078-803-3619,078-803-3629,34.701105,135.220514,灘区,高齢者のための施設
,1397,神戸市立ひょうご高齢者デイサービスセンター,652-0897,兵庫区駅南通5-1-1,神戸市立中部在宅障害者福祉センターの3F,078-672-6491,078-672-6490,34.66804,135.16553,兵庫区,高齢者のための施設
,1398,神戸市立松原デイサービスセンター,652-0881,兵庫区松原通4-2-25,,078-682-0081,078-682-1130,34.664254,135.165789,兵庫区,高齢者のための施設
,1399,キャナルタウン高齢者介護支援センター,652-0897,兵庫区駅南通5-1-2,高齢者総合福祉施設モーツァルト兵庫駅前内,078-681-0080 ,078-681-6780,34.667085,135.163911,兵庫区,高齢者のための施設
,1400,神戸市立浜山高齢者介護支援センター,652-0875,兵庫区浜中町1-16-18,花みさき・花みさきⅡ,078-682-8731,078-682-8730,34.655758,135.165834,兵庫区,高齢者のための施設
,1401,神戸市立兵庫在宅福祉センター,652-0058,兵庫区菊水町10-40,海光園ミラホーム内,078-521-1294,078-521-1433,34.679975,135.154284,兵庫区,高齢者のための施設
delta=0.0255,1402,神戸市立中道高齢者介護支援センター,652-0801,兵庫区中道通6-1-33,,078-575-9300,078-575-2520,34.673615,135.16295,兵庫区,高齢者のための施設
,1403,神戸市立真野デイサービスセンター,653-0022,長田区東尻池町6-3-19,シルバーハウジング1階,078-685-3341,078-685-3343,34.65661,135.156812,長田区,高齢者のための施設
,1404,西部高齢者介護支援センター（高齢者ケアセンターながたデイサービス）,653-0016,長田区北町3-3,,078-575-8777,078-575-8188,34.66551,135.151532,長田区,高齢者のための施設
,1405,神戸市立長田在宅福祉センター,653-0036,長田区腕塚町2-1-28,,078-611-2015,078-611-2016,34.656571,135.14939,長田区,高齢者のための施設
,1406,神戸市立片山デイサービスセンター,653-0805,長田区片山町3-2-11,,078-646-2681,078-646-2682,34.674981,135.14927,長田区,高齢者のための施設
,1407,神戸市立離宮高齢者介護支援センター,654-0067,須磨区離宮西町2-2-3,,078-731-4164,078-739-5751,34.652219,135.115885,須磨区,高齢者のための施設
,1409,神戸市立須磨在宅福祉センター,654-0024,須磨区大田町7-3-15,,078-736-1294,078-736-2294,34.654788,135.131745,須磨区,高齢者のための施設
delta=0.0016,1411,神戸市立名谷町デイサービスセンター,655-0852,垂水区名谷町字高曽2300-1,,078-796-3780,078-796-3780,34.670158,135.077499,垂水区,高齢者のための施設
,1412,神戸市立本多聞高齢者介護支援センター,655-0006,垂水区本多聞7-2-2,,078-783-5001,078-786-1465,34.651502,135.043455,垂水区,高齢者のための施設
,1413,神戸市立垂水在宅福祉センター,655-0892,垂水区平磯1-2-5,垂水年金会館2階,078-751-1294,078-752-2294,34.628091,135.058991,垂水区,高齢者のための施設
,1414,神戸市立北在宅福祉センター,651-1114,北区鈴蘭台西町1-26-2,,078-592-1294,078-592-5170,34.726584,135.145312,北区,高齢者のための施設
,1415,神戸市立中央在宅福祉センター,651-0086,中央区磯上通3-1-32,こうべ市民福祉交流センター6階,078-271-1294,078-271-5369,34.69283,135.20178,中央区,高齢者のための施設
,1416,老人健康センター,651-0077,中央区日暮通5-5-8,,078-242-5592,078-221-6540,34.698524,135.203096,中央区,高齢者のための施設
,1417,神戸市立脇の浜高齢者介護支援センター,651-0073,中央区脇浜海岸通3-2-6,,078-221-5566,078-221-4800,34.69536,135.207235,中央区,高齢者のための施設
,1418,神戸市立西在宅福祉センター,651-2276,西区春日台5-174-10,,078-961-1294,078-961-2140,34.702231,134.988042,西区,高齢者のための施設
,1468,社会福祉法人神戸市社会福祉協議会　長田在宅福祉センター,653-0036,長田区腕塚町2-1-28,,078-611-2015,078-611-2016,34.656571,135.14939,長田区,高齢者のための施設
,3147,新長田あんしんすこやかセンター,653-0042,長田区二葉町5丁目1-1-117,アスタくにづか5番館 １階,078-642-0080,078-642-0211,34.652468,135.147994,長田区,高齢者のための施設
,3148,学園都市あんしんすこやかセンター,651-2103,西区学園西町1-4,キャンパススクエア東館　1階,078-794-3130,078-794-3722,34.682857,135.057426,西区,高齢者のための施設
,3153,舞子あんしんすこやかセンター,655-0046,垂水区舞子台6-10-1-202,舞子台久保ビル2階,078-787-5231,078-787-8752,34.636959,135.03097,垂水区,高齢者のための施設
