品目,よみ,業種指定,排出区分,指定袋,搬入制限,搬入制限コメント,産業廃棄物,収納袋義務除外申請対象,備考1,備考1リンク,備考1リンク表示文字列,備考2,備考2リンク,備考2リンク表示文字列,更新日
ビデオテープ,びでおてーぷ,,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
ビニール袋,びにーるぶくろ,,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
プランター（プラスチック製）,ぷらんたー,,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
フロッピーディスクのケース,ふろっぴーでぃすくのけーす,,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
ペットボトルのキャップ・ラベル,ぺっとぼとるのきゃっぷ・らべる,,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
ベルト（合成皮革のもの）,べると・ごうせいひかく,,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
ベルト（合成皮革以外のもの）,べると・ごうせいひかくいがい,,可燃,対象,,,,,,,,,,,5/23/2017
弁当容器,べんとうようき,,可燃,対象,,,,,,,,,,,5/23/2017
ボールペン,ぼーるぺん,,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
ポリタンク,ぽりたんく,,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
マジックインキ（プラスチック製）,まじっくいんき,,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
マッチ,まっち,,可燃,対象,,,,,水に浸し、湿らせたから出してください,,,,,,5/23/2017
モデルウィッグ,もでるうぃっぐ,,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
ライター（プラスチック製）,らいたー,,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,ガスは使い切ってください,,,,,,5/23/2017
梱包用緩衝材（ウレタン等）・梱包資材,こんぽうようかんしょうざい,,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
梱包用ビニール,こんぽうようびにーる,,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
PPバンド,ぴーぴーばんど,,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
結束バンド,けっそくばんど,,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
ブルーシート（工事に使用されたもの以外）,ぶるーしーと,,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,工事に使用されたものは産業廃棄物として処分してください,tel:0783817464,詳しくは、現在契約中の一般廃棄物収集運搬許可業者または、兵庫県産業廃棄物協会（078-381-7464）にお問い合わせください,,,,5/23/2017
フレコンバック（工事に使用されたもの以外）,ふれこんばっく,,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,工事に使用されたものは産業廃棄物として処分してください,tel:0783817464,詳しくは、現在契約中の一般廃棄物収集運搬許可業者または、兵庫県産業廃棄物協会（078-381-7464）にお問い合わせください,,,,5/23/2017
ヘルメット（合成樹脂製のみ）,へるめっと,,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
おもちゃ（プラスチック製）,おもちゃ,,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
おもちゃ（木製）,おもちゃ,,可燃,対象,,,,,,,,,,,5/23/2017
シャワーホース（金属を含まないもの）,しゃわーほーす,,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,金属を含むものは粗大(不燃)ごみです,,,,,,5/23/2017
洗濯機の排水ホース,せんたくきのはいすいほーす,,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
ロープ（金属製のもの以外・工事に使用されたもの以外）,ろーぷ,,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,工事に使用されたものは産業廃棄物として処分してください,tel:0783817464,詳しくは、現在契約中の一般廃棄物収集運搬許可業者または、兵庫県産業廃棄物協会（078-381-7464）にお問い合わせください,,,,5/23/2017
髪の毛,かみのけ,,可燃,対象,,,,,,,,,,,5/23/2017
土嚢袋（中身が入っていないものに限る）,どのうぶくろ,,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,中身（土）が入っているものは受入れできません,,,,,,5/23/2017
プラスチックボトル（医薬品が入っていたもの以外）,ぷらすちっくぼとる,,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,医薬品が入っていたものは産業廃棄物として処分してください,tel:0783817464,詳しくは、現在契約中の一般廃棄物収集運搬許可業者または、兵庫県産業廃棄物協会（078-381-7464）にお問い合わせください,,,,5/23/2017
機密書類,きみつしょるい,,可燃,対象,,,,対象,民間のリサイクル業者では、文書の機密性を保持し、リサイクル処理を行える施設もあります。,,機密文書のリサイクルについては、取引のある一般廃棄物収集運搬業者または、神戸市環境共栄事業協同組合（078-331-3470)、兵庫県製紙原料直納協同組合（078-265-6860※神戸古紙リサイクルの会内)までご相談ください。,,,,5/23/2017
液体運搬用ポリタンク（飲料水・石油類用のプラスチック製のもの）,えきたいうんぱんようぽりたんく,,可燃,対象,対象,,,,,,,,,,5/23/2017
カーペットタイル（内装工事に使用されたもの以外）,かーぺっとたいる,,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,内装工事に使用されたものは産業廃棄物として処分してください。,,詳しくは、現在契約中の一般廃棄物収集運搬許可業者または、兵庫県産業廃棄物協会（078-381-7464）にお問い合わせください,一辺が50cm以上のものは粗大(不燃)ごみです,,,5/23/2017
かご（スーパー等の買い物用）,かご,,可燃,対象,対象,,,,,,,,,,5/23/2017
工作用パイプ（樹脂製で工事に使用されたもの以外）,こうさくようぱいぷ・じゅしせい,,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,工事に使用されたものは産業廃棄物として処分してください,,詳しくは、現在契約中の一般廃棄物収集運搬許可業者または、兵庫県産業廃棄物協会（078-381-7464）にお問い合わせください,50cm以上のものは粗大(不燃)ごみです,,,5/23/2017
三角コーン（工事に使用されたもの以外）,さんかくこーん,,可燃,対象,対象,,,,工事に使用されたものは産業廃棄物として処分してください,,詳しくは、現在契約中の一般廃棄物収集運搬許可業者または、兵庫県産業廃棄物協会（078-381-7464）にお問い合わせください,50cm以上のものは粗大(不燃)ごみです,,,5/23/2017
長尺シートの切れ端（内装工事に使用されたもの以外）,ちょうじゃくしーとのきれはし,,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,内装工事に使用されたものは産業廃棄物として処分してください,,詳しくは、現在契約中の一般廃棄物収集運搬許可業者または、兵庫県産業廃棄物協会（078-381-7464）にお問い合わせください,一辺が50cm以上のものは粗大(不燃)ごみです,,,5/23/2017
毛布,もうふ,,可燃,対象,対象,,,,,,,,,,5/23/2017
紙おむつ（感染のおそれがないもの）,かみおむつ,,可燃,対象,,,,,汚物を取り除いて出してください,,,,,,5/23/2017
紙コップ,かみこっぷ,,可燃,対象,,,,,,,,,,,5/23/2017
コップ（プラスチック製）,こっぷ,,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
卵パック,たまごぱっく,,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
スタンプ台（プラスチック製）,すたんぷだい,,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,金属製のものは粗大(不燃)ごみです,,,,,,5/23/2017
マジックペン（プラスチック製）,まじっくぺん,,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,本体がガラスでできているものは粗大(不燃)ごみです,,,,,,5/23/2017
粘土（紙・小麦）,ねんど,,可燃,対象,,,,,,,,,,,5/23/2017
ペットボトルの本体,ぺっとぼとるのほんたい,,資源,対象,,,,,ラベル・キャップ（プラスチック製）ははずし、可燃ごみで処分してください,,,軽く水洗いし、平たくつぶしてください,,,5/23/2017
アルミシート（工事に使用されたもの以外）,あるみしーと,,粗大(不燃),対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,工事に使用されたものは産業廃棄物として処分してください,,詳しくは、現在契約中の一般廃棄物収集運搬許可業者または、兵庫県産業廃棄物協会（078-381-7464）にお問い合わせください,,,,5/23/2017
衣装ケース・収納ケース等,いしょうけーす・しゅうのうけーす,,粗大(不燃),,対象,,,,,,,,,,5/23/2017
いす,いす,,粗大(不燃),対象,対象,,,,,,,,,,5/23/2017
一輪車,いちりんしゃ,,粗大(不燃),,対象,,,,,,,,,,5/23/2017
ハンガー（金属製）,はんがー,,粗大(不燃),対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
植木鉢（陶磁器製）,うえきばち,,粗大(不燃),対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
運搬ケース,うんぱんけーす,,粗大(不燃),対象,対象,,,,,,,,,,5/23/2017
ACアダプター,えーしーあだぷたー,,粗大(不燃),対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
おもちゃ（金属製）,おもちゃ,,粗大(不燃),対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
オルガン（電子式も含む）,おるがん,,粗大(不燃),,対象,,,,,,,,,,5/23/2017
傘,かさ,,粗大(不燃),対象,対象,,,,指定袋の口を縛って入れることができない場合は、取引のある一般廃棄物収集運搬業者にご相談ください,,,,,,5/23/2017
ガスコンロ・カセットコンロ,がすこんろ・かせっとこんろ,,粗大(不燃),対象,対象,,,,コンロに記載の販売元または、(一社)日本ガス石油機器工業会のカセットボンベお客様センター（0120-14-9996）へご連絡ください,http://www.jgka.or.jp/consumer/contact/cb.html,(一社)日本ガス石油機器工業会（カセットボンベ及びカセットコンロに関するお問い合わせ）,,,,5/23/2017
ガスレンジ,がすれんじ,,粗大(不燃),対象,対象,,,,販売業者・下取りしたものについては産業廃棄物として処分してください,,詳しくは、現在契約中の一般廃棄物収集運搬許可業者または、兵庫県産業廃棄物協会（078-381-7464）にお問い合わせください,,,,5/23/2017
カセットボンベ,かせっとぼんべ,,粗大(不燃),対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,中身を使い切り火の気のない風通しの良い所で穴を開けてください,,,中身を使い切っていないものは、ボンベに記載の販売元または、(一社)日本ガス石油機器工業会のカセットボンベお客様センター（0120-14-9996）へご連絡ください,http://www.jgka.or.jp/consumer/contact/cb.html,(一社)日本ガス石油機器工業会（カセットボンベ及びカセットコンロに関するお問い合わせ）,5/23/2017
カッターナイフ,かったーないふ,,粗大(不燃),対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
花びん（ガラス・陶磁器製）,かびん,,粗大(不燃),対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
ガラス（ビン以外）,がらす,,粗大(不燃),対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
乾電池,かんでんち,,粗大(不燃),対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
キーボード（パソコン用）,きーぼーど,,粗大(不燃),対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
キャップ（金属製）,きゃっぷ,,粗大(不燃),対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
金庫（手提げに限る）,きんこ,,粗大(不燃),対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
ロッカー,ろっかー,,粗大(不燃),,対象,,,,,,,,,,5/23/2017
釘,くぎ,,粗大(不燃),対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,工事に使用されたものは産業廃棄物として処分してください,,詳しくは、現在契約中の一般廃棄物収集運搬許可業者または、兵庫県産業廃棄物協会（078-381-7464）にお問い合わせください,,,,5/23/2017
車椅子,くるまいす,,粗大(不燃),,対象,,,,,,,,,,5/23/2017
蛍光灯,けいこうとう,,粗大(不燃),対象,対象,,,,指定袋の口を縛って入れることができない場合は、取引のある一般廃棄物収集運搬業者にご相談ください,,,,,,5/23/2017
携帯電話,けいたいでんわ,,粗大(不燃),対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
ライト（工事に使用されたもの以外）,こうじようらいと,,粗大(不燃),対象,対象,,,,工事に使用されたものは産業廃棄物として処分してください,,詳しくは、現在契約中の一般廃棄物収集運搬許可業者または、兵庫県産業廃棄物協会（078-381-7464）にお問い合わせください,,,,5/23/2017
コード類（電気コード・LANケーブル）,こーどるい,,粗大(不燃),対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
コップ（ガラス・陶磁器製）,こっぷ,,粗大(不燃),対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
コピー機（指定袋に入るものに限る）,こぴーき,,粗大(不燃),対象,対象,,,,大型のものは受入できません（メーカーに引取を依頼するか、産業廃棄物として処分してください）,,産業廃棄物に関することは、現在契約中の一般廃棄物収集運搬許可業者または、兵庫県産業廃棄物協会（078-381-7464）にお問い合わせください,トナーを除去した状態で出してください,,,5/23/2017
"壊れたハードルの足（陸上競技用）
",こわれたはーどるのあし,,粗大(不燃),,対象,,,,,,,,,,5/23/2017
梱包用鉄帯,こんぽうようてつおび,,粗大(不燃),対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
コンポステレオ,こんぽすてれお,,粗大(不燃),対象,対象,,,,,,,,,,5/23/2017
自転車,じてんしゃ,,粗大(不燃),,対象,,,,,,,,,,5/23/2017
シャープペンシル（金属製）,しゃーぷぺんしる,,粗大(不燃),対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
シャワーホース（金属を含むもの）,しゃわーほーす,,粗大(不燃),対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,金属を含まないものは可燃ごみです,,,,,,5/23/2017
照明器具,しょうめいきぐ,,粗大(不燃),対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
食器・トレイ（ガラス・陶磁器製）,しょっき・とれい,,粗大(不燃),対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,紙・プラスチック属のものは可燃ごみです,,,,,,5/23/2017
シンク,しんく,,粗大(不燃),,対象,,,,,,,,,,5/23/2017
畳（新建材のものに限る）,たたみ,,粗大(不燃),,対象,,,,新建材（中心部が発泡スチロール等プラスチックで、表面だけ藺草を使用したもの）のものに限ります,,,,,,5/23/2017
スキャナー,すきゃなー,,粗大(不燃),対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
スチール棚,すちーるだな,,粗大(不燃),,対象,,,,,,,,,,5/23/2017
ストーブ,すとーぶ,,粗大(不燃),対象,対象,,,,,,,,,,5/23/2017
扇風機,せんぷうき,,粗大(不燃),対象,対象,,,,,,,,,,5/23/2017
掃除機,そうじき,,粗大(不燃),対象,対象,,,,,,,,,,5/23/2017
その他什器類（金属製）,そのたじゅうきるい,,粗大(不燃),対象,対象,,,,,,,,,,5/23/2017
ソファー,そふぁー,,粗大(不燃),,,,,,,,,,,,5/23/2017
調味料用容器（ガラス・陶磁器製）,ちょうみりょうようようき,,粗大(不燃),対象,対象,,,,中身を使い切った状態で出してください,,,,,,5/23/2017
調理台,ちょうりだい,,粗大(不燃),対象,対象,,,,,,,,,,5/23/2017
事務机,じむづくえ,,粗大(不燃),,対象,,,,,,,,,,5/23/2017
机,つくえ,,粗大(不燃),,対象,,,,,,,,,,5/23/2017
鉄板,てっぱん,,粗大(不燃),対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,工事に使用されたものは産業廃棄物として処分してください,,詳しくは、現在契約中の一般廃棄物収集運搬許可業者または、兵庫県産業廃棄物協会（078-381-7464）にお問い合わせください,,,,5/23/2017
電気配線コード,でんきはいせんこーど,,粗大(不燃),対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
電気ポット,でんきぽっと,,粗大(不燃),対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
電子ピアノ,でんしぴあの,,粗大(不燃),,対象,,,,,,,,,,5/23/2017
電子レンジ,でんしれんじ,,粗大(不燃),対象,対象,,,,,,,,,,5/23/2017
電線用コードリール,でんせんようこーどりーる,,粗大(不燃),対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
延長コード,えんちょうこーど,,粗大(不燃),対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
電卓,でんたく,,粗大(不燃),対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
電話器,でんわき,,粗大(不燃),対象,対象,,,,,,,,,,5/23/2017
トスバッティング用移動式ネット,とすばってぃんぐよういどうしきねっと,,粗大(不燃),,対象,,,,金属フレームとナイロン網とがこれに含まれます,,,,,,5/23/2017
トナーカートリッジ,となーかーとりっじ,,粗大(不燃),対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,メーカー等で引き取りをしている場合があります,,,中身が入っている場合は受入れできません,,,5/23/2017
跳び箱（合成樹脂製のみ）,とびばこ,,粗大(不燃),,対象,,,,,,,,,,5/23/2017
トランポリン台,とらんぽりんだい,,粗大(不燃),,対象,,,,,,,,,,5/23/2017
灰皿（ガラス製・金属製）,はいざら,,粗大(不燃),対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
バケツ,ばけつ,,粗大(不燃),対象,対象,,,,,,,,,,5/23/2017
パソコン周辺機器（FDD・HDD・MO・スピーカー・カードリーダー等）,ぱそこんしゅうへんきき,,粗大(不燃),対象,対象,,,,分解したパソコンの部品は産業廃棄物として処分してください,,詳しくは、現在契約中の一般廃棄物収集運搬許可業者または、兵庫県産業廃棄物協会（078-381-7464）にお問い合わせください,,,,5/23/2017
針金,はりがね,,粗大(不燃),対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,工事に使用されたものは産業廃棄物として処分してください,,詳しくは、現在契約中の一般廃棄物収集運搬許可業者または、兵庫県産業廃棄物協会（078-381-7464）にお問い合わせください,,,,5/23/2017
ビデオデッキ,びでおでっき,,粗大(不燃),対象,対象,,,,,,,,,,5/23/2017
ファックス,ふぁっくす,,粗大(不燃),対象,対象,,,,,,,,,,5/23/2017
布団,ふとん,,粗大(不燃),,対象,,,,,,,,,,5/23/2017
ブラインド,ぶらいんど,,粗大(不燃),,対象,,,,,,,,,,5/23/2017
プリンター（指定袋に入るもの）,ぷりんたー,,粗大(不燃),対象,対象,,,,トナーは除去してください。,,,指定袋に入らないものは受入れできません。メーカーまたは販売店にご相談ください。,,,5/23/2017
フロッピーディスク,ふろっぴーでぃすく,,粗大(不燃),対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
マウス（パソコン用）,まうす,,粗大(不燃),対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
間仕切りパーテーション,まじきりぱーてーしょん,,粗大(不燃),,対象,,,,外枠は金属製、それ以外は木製又は紙製のものがこれに当たります,,,,,,5/23/2017
水抜き液の金属製容器（単車エンジン用）,みずぬきえきのきんぞくせいようき,,粗大(不燃),対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
焼肉用の焼き網,やきにくようのやきあみ,,粗大(不燃),対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,使用の有無を問わず、全てのものが対象です,,,,,,5/23/2017
電飾（工事に使用されたもの以外）,ゆうどうようでんしょく,,粗大(不燃),対象,対象,,,,工事に使用されたものは産業廃棄物として処分してください,,詳しくは、現在契約中の一般廃棄物収集運搬許可業者または、兵庫県産業廃棄物協会（078-381-7464）にお問い合わせください,,,,5/23/2017
ポール（工事に使用されたもの以外）,ゆうどうようぽーる,,粗大(不燃),対象,対象,,,,工事に使用されたものは産業廃棄物として処分してください,,詳しくは、現在契約中の一般廃棄物収集運搬許可業者または、兵庫県産業廃棄物協会（078-381-7464）にお問い合わせください,指定袋の口を縛って入れることができない場合は、取引のある一般廃棄物収集運搬業者にご相談ください,,,5/23/2017
ライター（金属製）,らいたー,,粗大(不燃),対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,ガスは使い切った状態で出してください,,,,,,5/23/2017
ラジカセ,らじかせ,,粗大(不燃),対象,対象,,,,,,,,,,5/23/2017
LANケーブル,らんけーぶる,,粗大(不燃),対象,対象,,,,,,,,,,5/23/2017
陸上競技用のスポンジマット（走り高跳び・棒高跳び用）,りくじょうようのすぽんじまっと,,粗大(不燃),,対象,,,,,,,,,,5/23/2017
ロープ（金属製のもの）※工事に使用されたもの以外,ろーぷ,,粗大(不燃),対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,工事に使用されたものは産業廃棄物として処分してください,,詳しくは、現在契約中の一般廃棄物収集運搬許可業者または、兵庫県産業廃棄物協会（078-381-7464）にお問い合わせください,,,,5/23/2017
ワープロ,わーぷろ,,粗大(不燃),対象,対象,,,,,,,,,,5/23/2017
湯呑み（陶磁器製）,ゆのみ,,粗大(不燃),対象,,,,,,,,,,,5/23/2017
心肺蘇生訓練用人形,しんぱいそせいくんれんようにんぎょう,,粗大(不燃),,,,,,医療機関・薬局から排出される廃棄物の捨て方はこちらもご覧ください,http://www.city.kobe.lg.jp/business/regulation/environment/industry/img/iryou-ru-ru.pdf,（参考）医療関係の廃棄物適正処理ルールBOOK,,,,5/23/2017
AED用電極パッド,えーいーでぃーようでんきょくぱっど,,粗大(不燃),対象,,,,,,,,,,,5/23/2017
シニアカー・電動カート,しにあかー・でんどうかーと,,粗大(不燃),,対象,,,,販売店・メーカーが引取・リサイクルを行なっている場合があります,,,,,,5/23/2017
土鍋,どなべ,,粗大(不燃),対象,,,,,,,,,,,5/23/2017
ステンレス鍋,すてんれすなべ,,粗大(不燃),対象,,,,,,,,,,,5/23/2017
電球,でんきゅう,,粗大(不燃),対象,,,,,,,,,,,5/23/2017
フライパン,ふらいぱん,,粗大(不燃),対象,,,,,,,,,,,5/23/2017
本棚,ほんだな,,粗大(不燃),,,,,,,,,,,,5/23/2017
スタンプ台（金属製）,すたんぷだい,,粗大(不燃),対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,プラスチック製のものは可燃ごみです,,,,,,5/23/2017
マジックペン（ガラス製）,まじっくぺん,,粗大(不燃),対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,本体・蓋がプラスチックでできているものは可燃ごみです,,,,,,5/23/2017
粘土（油）,ねんど,,粗大(不燃),対象,,,,,,,,,,,5/23/2017
