施設ID	施設名	郵便番号	住所	方書	電話番号	FAX番号	緯度	経度	行政区コード	カテゴリリスト
66	妙賀山クリーンセンター	651-1101	北区山田町小部字妙賀山1-1		078-591-0514	078-591-0666	34.733248	135.161659	北区	ごみとリサイクル
68	淡河環境センター	651-1623	北区淡河町野瀬字南山		078-959-0715		34.797517	135.129409	北区	ごみとリサイクル
2505	市営住宅管理センター保全課	651-0096	中央区雲井通5-3-1	サンパル8階	078-251-6720		34.695549	135.197266	中央区	すまい
2506	市住宅供給公社駐車場課	651-0096	中央区雲井通5-3-1	サンパル2階	078-251-7538		34.695549	135.197266	中央区	すまい
2507	神戸市すまいの安心支援センター「すまいるネット」	651-0096	中央区雲井通5-3-1	サンパル4階	078-222-0005	078-222-0106	34.695549	135.197266	中央区	すまい
2508	こうべまちづくり会館	650-0022	中央区元町通4-2-14		078-361-4523	078-361-4546	34.686117	135.182879	中央区	すまい
2509	花と緑のまち推進センター	650-0006	中央区諏訪山町2-8	諏訪山公園内	078-351-6756	078-341-8710	34.694457	135.179626	中央区	すまい
2510	市営住宅管理センター市営住宅1課	651-0096	中央区雲井通5-3-1	サンパル9階	078-251-6548		34.695549	135.197266	中央区	すまい
2530	生活情報センター	650-0016	中央区橘通3-4-1	神戸市総合福祉センター5階	078-371-1221（相談専用）	078-351-5556(FAXによる相談は不可) 	34.68115	135.174365	中央区	その他神戸市の施設
2531	動物管理センター	651-1102	北区山田町下谷上字中一里山14-1		078-741-8111	078-741-8035	34.707663	135.122067	北区	その他神戸市の施設
2532	食肉衛生検査所	653-0032	長田区苅藻通7-1-20		078-671-1595	078-671-2440	34.651806	135.156319	長田区	その他神戸市の施設
2533	環境保健研究所	650-0046	中央区港島中町4-6		078-302-6197	078-302-0894	34.668061	135.210339	中央区	その他神戸市の施設
2534	食品衛生検査所	652-0844	兵庫区中之島1-1-1	神戸市中央卸売市場（本場）	078-672-8061	078-672-8062	34.666943	135.176591	兵庫区	その他神戸市の施設
2535	中央卸売市場本場	652-0844	兵庫区中之島1-1-4	関連中央棟4階 	078-672-8152	078-651-8518 	34.666303	135.176162	兵庫区	その他神戸市の施設
2536	東部市場	658-0023	東灘区深江浜町1-1		078-413-7071	078-413-2156	34.714637	135.296413	東灘区	その他神戸市の施設
2537	西部市場（食肉専用）	653-0032	長田区苅藻通7-1-20		078-671-1593	078-671-4411	34.651877	135.156292	長田区	その他神戸市の施設
2538	神戸港管理事務所	650-0046	中央区港島中町4-1-1	ポートアイランドビル8階	078-304-2501	078-304-2504 	34.672696	135.207414	中央区	その他神戸市の施設
2539	臨海整備事務所	650-0048	中央区神戸空港10	神戸空港海上アクセスターミナル2階	078-302-1331	078-303-7411 	34.639738	135.228851	中央区	その他神戸市の施設
2540	西神整備事務所	651-2242	西区井吹台東町1-1-1	西神南センタービル6階	078-992-5820	078-991-2622	34.699846	135.031733	西区	その他神戸市の施設
2541	新長田南再開発事務所	653-0039	長田区日吉町1-2-18		078-691-4951		34.656061	135.142899	長田区	その他神戸市の施設
2996	神戸市 東京事務所	102-0093	東京都千代田区平河町2-4-2	全国都市会館7階	03-3263-3071	03-3263-9246	35.681487	139.73868	市外	その他神戸市の施設
2997	神戸市産業振興センター	650-0044	中央区東川崎町1-8-4	神戸ハーバーランド内			34.680584	135.181849	中央区	その他神戸市の施設
2999	神戸ファッションマート	658-0032	東灘区向洋町中6-9		078-857-8001 	078-857-8010	34.689228	135.268283	東灘区	その他神戸市の施設
3004	行財政局主税部収税課	650-0032	神戸市中央区伊藤町111番地	神戸商工中金ビル4階・5階	078-322-6311	078-322-6151	34.688872	135.194809	中央区	その他神戸市の施設
3005	神戸市総合教育センター	650-0044	神戸市中央区東川崎町1-3-2		078-360-2001	078-360-1313	34.678208	135.180934	中央区	その他神戸市の施設
3110	シューズプラザ	653-0835	神戸市長田区細田町7-1-9		078-646-5266	078-643-4905	34.659205	135.144594	長田区	その他神戸市の施設
2525	東部衛生監視事務所	651-0096	中央区雲井通5-1-1	中央区役所内	078-232-4651		34.695102	135.197783	中央区	衛生監視事務所
2526	西部衛生監視事務所	653-0016	長田区北町3-4-3	長田区役所内	078-579-2660		34.665785	135.150796	長田区	衛生監視事務所
2527	北衛生監視事務所	651-1114	北区鈴蘭台西町1-25-1	北区役所内	078-593-3250		34.727253	135.144387	北区	衛生監視事務所
2528	垂水衛生監視事務所	655-0893	垂水区日向1-5-1	垂水区役所内	078-708-6230		34.63028	135.056872	垂水区	衛生監視事務所
2529	西衛生監視事務所	651-2195	西区玉津小山字川端180-3	西区役所内	078-929-0550		34.683652	134.981568	西区	衛生監視事務所
2519	東部建設事務所	658-0044	東灘区御影塚町2-27-20		078-854-2191	078-854-2198	34.713459	135.249323	東灘区	建設事務所
2520	中部建設事務所	652-0041	兵庫区湊川町2-1-12		078-511-0515	078-531-8333	34.684314	135.163754	兵庫区	建設事務所
2521	北建設事務所	651-1331	北区有野町唐櫃字種池3064		078-981-5191	078-982-1488	34.786814	135.207704	北区	建設事務所
2522	西部建設事務所	654-0121	須磨区妙法寺字ヌメリ石1-1		078-742-2424	078-742-2351	34.672517	135.10576	須磨区	建設事務所
2523	垂水建設事務所	655-0013	垂水区福田5-6-20		078-707-0234	078-706-5660	34.647011	135.066998	垂水区	建設事務所
2524	西建設事務所	651-2128	西区玉津町今津字宮の西333-1		078-912-3750	078-912-3749	34.681484	134.993655	西区	建設事務所
267	母子福祉センター	650-0016	中央区橘通3-4-1	総合福祉センター内	078-341-4532		34.68117	135.174391	中央区	出産・子育て
268	総合児童センター（こべっこランド）	650-0044	中央区東川崎町1-3-1		078-382-1300		34.678592	135.181352	中央区	出産・子育て
296	地域子育て応援プラザ東灘	658-8570	東灘区住吉東町5-2-1	東灘区役所内	078-851-4148		34.720254	135.265426	東灘区	出産・子育て
297	地域子育て応援プラザ灘	657-8570	灘区桜口町4-2-1	灘区役所内	078-811-6201		34.71243	135.239634	灘区	出産・子育て
298	地域子育て応援プラザ中央	650-8570	中央区雲井通5-1-1	中央区役所内	078-230-1821		34.695102	135.197783	中央区	出産・子育て
299	地域子育て支援センター兵庫	652-0895	兵庫区小河通3-2-14	市立小河保育所内	078-682-7830		34.665794	135.168024	兵庫区	出産・子育て
300	地域子育て支援センター北	651-1142	北区甲栄台2-4-1	市立桜の宮保育所内	078-595-0511		34.740361	135.149721	北区	出産・子育て
301	地域子育て応援プラザ長田	653-8570	長田区北町3-4-3	長田区役所内	078-579-6581		34.665785	135.150796	長田区	出産・子育て
302	須磨区地域子育て支援センター	654-0142	須磨区友が丘3-107	北須磨保育園内	078-792-0674		34.665211	135.095937	須磨区	出産・子育て
303	地域子育て応援プラザ垂水	655-8570	垂水区日向1-5-1	垂水区役所内	078-704-2872		34.63028	135.056872	垂水区	出産・子育て
1271	こども家庭センター（児童相談所）	650-0044	中央区東川崎町1-3-1	こべっこランド内	078-382-2525		34.678766	135.181134	中央区	出産・子育て
3145	地域子育て支援センター北神	651-1302	北区藤原台中町1-2-1	北神中央ビル6階	078-982-2376		34.821093	135.221648	北区	出産・子育て
70	水道局東部センター（東灘・灘区）	658-0081	東灘区田中町5-3-23		078-451-2020		34.720941	135.266752	東灘区	水道・下水道
71	水道局中部センター（中央区・兵庫区）	650-0016	中央区橘通3-4-2		078-341-5451		34.681522	135.173899	中央区	水道・下水道
72	水道局北センター（北区）	651-1233	北区日の峰1-14-1		078-582-4000		34.756136	135.147192	北区	水道・下水道
73	水道局西部センター（長田・須磨区）	654-0026	須磨区大池町5-6-30		078-733-6601		34.655055	135.135286	須磨区	水道・下水道
74	水道局垂水センター（垂水・西区）	655-0006	垂水区本多聞2-11-1		078-784-0550		34.657493	135.042936	垂水区	水道・下水道
75	上ケ原浄水管理事務所	662-0815	西宮市仁川百合野町1-40		0798-52-5678		34.771307	135.341186	市外	水道・下水道
76	奥平野浄水管理・工事事務所	652-0004	兵庫区楠谷町37-1		078-351-2414		34.693349	135.175132	兵庫区	水道・下水道
77	北神浄水事務所	651-1503	北区道場町生野780		078-985-2438		34.868884	135.26628	北区	水道・下水道
78	建設局東水環境センター（東灘・灘・中央区）	658-0025	東灘区魚崎南町2-1-23		078-451-0456		34.710526	135.279029	東灘区	水道・下水道
79	建設局中央水環境センター（兵庫・長田・須磨区）	653-0044	長田区南駒栄町1-44		078-641-2711		34.647775	135.151354	長田区	水道・下水道
80	建設局北下水道センター（北区）	651-1243	北区山田町下谷上字上ノ勝4-1		078-581-6250		34.745493	135.160261	北区	水道・下水道
81	建設局西水環境センター（垂水・西区）	655-0892	垂水区平磯1-1-65		078-752-1700		34.62828	135.065285	垂水区	水道・下水道
2954	東灘第1低層配水池	658-0073	東灘区西岡本4-17				34.726855	135.261974	東灘区	水道・下水道
2955	川井公園	658-0082	東灘区魚崎北町2				34.717585	135.273854	東灘区	水道・下水道
2956	六甲アイランド貯水槽	658-0032	東灘区向洋町中2				34.689969	135.27528	東灘区	水道・下水道
2957	本山南給水拠点	658-0015	東灘区本山南町8-3				34.722722	135.281836	東灘区	水道・下水道
2958	石屋川公園	657-0034	灘区記田1				34.716244	135.248649	灘区	水道・下水道
2959	篠原低層配水池	657-0066	灘区篠原中町5-2				34.717924	135.226534	灘区	水道・下水道
2960	ＨＡＴ神戸水際広場貯水槽	651-0073	中央区脇浜海岸通				34.695257	135.213037	中央区	水道・下水道
2961	北野中層配水池	650-0002	中央区北野町1-4				34.704847	135.193216	中央区	水道・下水道
2962	磯上公園	651-0085	中央区八幡通2-1				34.691576	135.199197	中央区	水道・下水道
2963	奥平野調整池	652-0004	兵庫区楠谷町37-1				34.693387	135.175121	兵庫区	水道・下水道
2964	御崎公園貯水槽	652-0855	兵庫区御崎町1	御崎公園内			34.657064	135.169709	兵庫区	水道・下水道
2965	北神戸配水池	651-1516	北区赤松台2-4				34.874489	135.175663	北区	水道・下水道
2966	北神戸ポンプ場	651-1515	北区上津台9-1				34.868257	135.203397	北区	水道・下水道
2967	藤原ポンプ場	651-1301	北区藤原台北町7				34.833514	135.218064	北区	水道・下水道
2968	藤原低区配水池	651-1302	北区藤原台中町7				34.813891	135.216562	北区	水道・下水道
2969	有野低区配水池	651-1321	北区有野台8丁目4418-8				34.808086	135.230235	北区	水道・下水道
2970	有馬高区配水池	651-1401	北区有馬町歯朶が尾				34.79659	135.256698	北区	水道・下水道
2971	唐櫃高区配水池	651-1332	北区唐櫃台4-18-61				34.785195	135.216458	北区	水道・下水道
2972	花山台配水池	651-1206	北区大池見山台14-355				34.781617	135.196279	北区	水道・下水道
2973	箕谷中区配水池	651-1233	北区日の峰1-60				34.762099	135.14882	北区	水道・下水道
2974	下谷上高区配水池	651-1212	北区筑紫が丘9				34.743684	135.171275	北区	水道・下水道
2975	東小部配水池	651-1112	北区鈴蘭台東町7-6				34.725133	135.153905	北区	水道・下水道
2976	西鈴蘭台配水池	651-1141	北区泉台6丁目				34.736146	135.130913	北区	水道・下水道
2977	ひよどり台特2高区配水池	651-1124	北区ひよどり北町1-2				34.702636	135.118554	北区	水道・下水道
2978	淡河高区配水池	651-1622	北区淡河町神田字鏡谷8-1				34.827632	135.153444	北区	水道・下水道
2979	会下山低層配水池	653-0802	長田区重池町2-3				34.677933	135.153715	長田区	水道・下水道
2980	板宿中層配水池	654-0009	須磨区板宿町3-15				34.663182	135.127963	須磨区	水道・下水道
2981	海浜公園	654-0049	須磨区若宮町1				34.642894	135.130055	須磨区	水道・下水道
2982	須磨特1低区配水池	654-0081	須磨区高倉台5-7				34.658531	135.105599	須磨区	水道・下水道
2983	東白川特2配水池	654-0103	須磨区東白川台5				34.696135	135.110271	須磨区	水道・下水道
2984	落合特1中区配水池	654-0151	須磨区北落合5-9-2				34.691565	135.092719	須磨区	水道・下水道
2985	東垂水中層配水池	655-0873	垂水区青山台1-11				34.639926	135.074392	垂水区	水道・下水道
2986	西垂水第2高層配水池	655-0004	垂水区学が丘3-4-1				34.656347	135.058633	垂水区	水道・下水道
2987	舞子中層配水池	655-0044	垂水区舞子坂2-7				34.645383	135.035317	垂水区	水道・下水道
2988	栄特1中区配水池	651-2227	西区桜が丘西町5-868-692				34.739812	135.058518	西区	水道・下水道
2989	押部谷特1配水池	651-2217	西区月が丘6-628-12				34.76264	135.049844	西区	水道・下水道
2990	神出高層配水池	651-2313	西区神出町田井字大鳥				34.744716	134.990237	西区	水道・下水道
2991	岩岡中層配水池	651-2401	西区岩岡町岩岡字大窪山612-1				34.715693	134.94553	西区	水道・下水道
2992	学園特1配水池	651-2102	西区学園東町4				34.687084	135.069416	西区	水道・下水道
2993	たちばな職員研修センター	650-0016	中央区橘通3-4-2				34.681548	135.17385	中央区	水道・下水道
158	神戸市立医療センター 西市民病院	653-0013	長田区一番町2-4番地		078-576-5251	078-576-5358	34.667401	135.156973	長田区	病院・休日急病診療所
171	西神戸医療センター	651-2273	西区糀台5-7-1		078-997-2200	救急対応	34.7169	135.0189	西区	病院・休日急病診療所
205	神戸市立医療センター 中央市民病院	650-0047	中央区港島南町2-1-1		078-302-4321	078-302-7537	34.659969	135.214877	中央区	病院・休日急病診療所
2511	鵯越墓園	652-0071	北区山田町下谷上字中一里山12-1		078-621-5667		34.693541	135.13925	北区	墓園・斎場
2512	舞子墓園	655-0031	垂水区舞子陵1-1		078-782-2975		34.647005	135.045914	垂水区	墓園・斎場
2513	西神墓園	651-2312	西区神出町南宇美濃谷614		078-961-2460		34.736386	134.992972	西区	墓園・斎場
2514	追谷墓園	650-0007	中央区神戸港地方字堂徳山3-1		078-621-5667		34.700793	135.185598	中央区	墓園・斎場
2515	甲南斎場	658-0061	東灘区本山町田中字南小路423		078-851-8050	078-821-2088	34.73749	135.258692	東灘区	墓園・斎場
2516	鵯越斎場	651-1102	北区山田町下谷上字中一里山14-1		078-743-1234	078-742-2330	34.706519	135.122303	北区	墓園・斎場
2517	有馬斎場	651-1401	北区有馬町字京口山1814		078-743-1234		34.802891	135.262146	北区	墓園・斎場
2518	西神斎場	651-2312	西区神出町南字美濃谷600		078-961-5251	078-961-5252	34.736532	134.995141	西区	墓園・斎場
