№,区,緊急避難場所の利用,避難所の利用,名称,住所,電話番号,緯度,経度,郵便番号,土砂災害,洪水,津波,備考
0030,東灘,○,○,福池小学校,神戸市東灘区本山南町4-4-28,078-452-5595,34.7212831,135.2787669,658-0011,,,,
0031,東灘,○,○,本山南小学校,神戸市東灘区本山南町8-2-1,078-452-0071,34.7235717,135.2824636,658-0011,,×,,《洪水時》河川氾濫時は早めに福池小学校へ避難すること
0032,東灘,○,○,神戸大学白鴎寮,神戸市東灘区本山南町1-4-50,078-431-6231,34.7235202,135.2876408,658-0015,,,,
0033,東灘,○,○,向洋小学校,神戸市東灘区向洋町中6,078-857-2450,34.6876808,135.2644942,658-0032,,,,
0034,東灘,○,○,甲南小学校,神戸市東灘区住吉本町1-12-1,078-841-1201,34.7222717,135.2639961,658-0051,,,,
0035,東灘,○,○,神大附属中等教育学校,神戸市東灘区住吉山手5-11-1,078-811-0232,34.7320231,135.2544994,658-0063,,,,
0036,東灘,○,○,本山南中学校,神戸市東灘区田中町4-12-1,078-412-2033,34.7231161,135.2705342,658-0061,,,,
0037,東灘,○,○,住吉中学校,神戸市東灘区住吉山手1-11-1,078-851-3752,34.7258628,135.2587214,658-0063,,,,
0038,東灘,○,○,御影中学校,神戸市東灘区御影中町5-1-1,078-841-2541,34.7159417,135.2535331,658-0054,,,,
0039,東灘,○,○,魚崎中学校,神戸市東灘区魚崎南町1-2-1,078-411-1631,34.7131200,135.2790506,658-0025,,,×,《津波時》国道2号より山側へ避難すること
0040,東灘,○,○,東灘体育館,神戸市東灘区魚崎南町6-5-11,078-452-9279,34.7147228,135.2781374,658-0025,,,×,《津波時》国道2号より山側へ避難すること
0041,灘,○,○,鶴甲小学校,神戸市灘区鶴甲2-10-1,078-821-0444,34.7335836,135.2363925,657-0011,△,,,《土砂災害時》正門が土砂災害警戒区域内にあるので注意、早めに避難すること
0042,灘,○,○,神戸大学農学部,神戸市灘区六甲台町1-1,078-803-5921(昼)、078-803-5777(夜),34.7262170,135.2371333,657-0013,,,,
0043,灘,○,○,神戸大学工学部,神戸市灘区六甲台町1-1,078-803-6333(昼)、078-803-5777(夜),34.7262170,135.2371333,657-0013,,,,
0044,灘,○,○,神戸大学発達科学部,神戸市灘区鶴甲３-11,078-803-7905(昼)、078-803-7941(夜),34.734609,135.234484,657-0011,,,,
0045,灘,○,,神戸松蔭女子学院大学,神戸市灘区篠原伯母野山町1-2-1,078-882-6175,34.72736,135.2295239,657-0015,,,,
0046,灘,○,○,成徳小学校,神戸市灘区備後町1-3-1,078-821-1001,34.7156136,135.2422119,657-0037,,,,
0047,灘,○,○,高羽小学校,神戸市灘区高羽町3-11-11,078-841-0541,34.7232671,135.2394699,657-0001,,,,
0048,灘,○,○,西郷小学校,神戸市灘区大石東町6-2-1,078-861-2888,34.7069712,135.2327520,657-0043,,,,
0049,灘,○,○,六甲小学校,神戸市灘区八幡町4-4-1,078-881-1071,34.7176856,135.2333847,657-0051,,,,
0050,灘,○,○,福住小学校,神戸市灘区福住通7-1-1,078-861-2424,34.7131542,135.2184924,657-0824,△,,,《土砂災害時》土砂災害警戒区域外（稗田小学校・王子スポーツセンター）へ避難すること。ただし、警戒区域外への避難が困難な方や余裕のない場合は利用可
0051,灘,○,○,神戸高校,神戸市灘区城の下通1-5-1,078-861-0434,34.7183517,135.2139531,657-0804,,,,
0052,灘,○,○,王子スポーツセンター,神戸市灘区青谷町1-1-1,078-802-0223,34.7112438,135.2127184,657-0805,,,,
0053,灘,○,○,西灘小学校,神戸市灘区船寺通3-4-1,078-861-8851,34.7078003,135.2277828,657-0824,,,,
0054,灘,○,○,原田中学校,神戸市灘区船寺通2-4-1,078-861-0431,34.7090114,135.2288994,657-0824,,,,
0055,灘,○,○,稗田小学校,神戸市灘区岸地通4-2-1,078-871-0721,34.7113389,135.2224081,657-0832,,,,
0056,灘,○,○,美野丘小学校,神戸市灘区箕岡通1-3-17,078-871-1381,34.7230792,135.2211800,657-0812,,,,
0057,灘,○,○,上野中学校,神戸市灘区国玉通1-1-1,078-871-9681,34.71930199,135.22289130,657-0816,△,,,《土砂災害時》正門が土砂災害警戒区域内にあるので注意、早めに避難すること
0058,灘,○,○,摩耶小学校,神戸市灘区畑原通4-1-1,078-861-3172,34.7157272,135.2205719,657-0822,△,,,《土砂災害時》土砂災害警戒区域外（稗田小学校・上野中学校）へ避難すること、ただし、警戒区域外への避難が困難な方や余裕のない場合は利用可
0059,灘,○,○,灘小学校,神戸市灘区千旦通1-5-1,078-871-0481,34.7132556,135.2325461,657-0056,,,,
0060,灘,○,○,六甲山小学校,神戸市灘区六甲山町北六甲4512-42,078-891-0328,34.7573864,135.2322536,657-0101,,,,
0061,灘,○,○,鷹匠中学校,神戸市灘区高徳町2-2-19,078-841-0041,34.7201547,135.2438533,657-0025,△,,,《土砂災害時》土砂災害警戒区域外（高羽小学校）へ避難すること、ただし、警戒区域外への避難が困難な方や余裕のない場合は利用可
0062,灘,○,○,烏帽子中学校,神戸市灘区烏帽子町1-2-1,078-851-5777,34.7106720,135.2376273,657-0042,,,,
0063,灘,○,○,長峰中学校,神戸市灘区長峰台2-2-1,078-861-3781,34.7248011,135.2226050,657-0811,△,,,《土砂災害時》正門が土砂災害警戒区域内にあるので注意、早めに避難すること
0064,中央,○,○,上筒井小学校,神戸市中央区野崎通1-1-2,078-241-1080,34.7106192,135.2113422,650-0061,,,,
0065,中央,○,○,筒井台中学校,神戸市中央区野崎通1-1-3,078-241-3201,34.7093111,135.2100675,657-0071,,,,※耐震改築工事中（平成28年４月工事完了予定（平成27年３月現在））
0066,中央,○,○,葺合高校,神戸市中央区野崎通1-1-1,078-291-0771,34.7110108,135.2102842,657-0054,,,,
0067,中央,○,○,宮本小学校,神戸市中央区宮本通2-1-36,078-221-1600,34.7067197,135.2117731,657-0063,,,,
0068,中央,○,○,科学技術高校,神戸市中央区脇浜町1-4-70,078-272-9900,34.7043033,135.2135256,650-0072,,×,,《洪水時》浸水想定区域外の緊急避難場所（宮本小学校、なぎさ小学校、渚中学校）へ避難すること
0069,中央,○,○,葺合中学校,神戸市中央区熊内町1-4-28,078-241-0444,34.7068444,135.2032542,650-0056,×,,,《土砂災害時》土砂災害警戒区域外の緊急避難場所（雲中小学校、中央小学校）へ避難すること
0070,中央,○,○,春日野小学校,神戸市中央区宮本通7-1-6,078-231-2461,34.70566147,135.20614299,650-0063,,×,,《洪水時》浸水想定区域外の緊急避難場所（宮本小学校、中央小学校）へ避難すること
0071,中央,○,○,なぎさ小学校,神戸市中央区脇浜海岸通2-4-1,078-252-5611,34.6977428,135.2110122,650-0073,,,,
0072,中央,○,○,渚中学校,神戸市中央区脇浜海岸通2-1-1,078-242-4501,34.7004675,135.2175697,650-0073,,,,
0073,中央,○,○,雲中小学校,神戸市中央区熊内町3-1-7,078-231-3441,34.7059667,135.2001544,650-0056,,,,
0074,中央,○,○,布引中学校,神戸市中央区熊内町6-7-1,078-241-0010,34.7094081,135.1991572,650-0056,×,,,《土砂災害時》土砂災害警戒区域外の緊急避難場所（雲中小学校、中央小学校）へ避難すること
0075,中央,○,○,中央小学校,神戸市中央区神若通7-1-1,078-231-2421,34.7017422,135.1996908,650-0067,,,,
0076,中央,○,○,コミスタこうべ（生涯学習支援センター）,神戸市中央区吾妻通4-1-6,078-251-4731,34.6982261,135.2046319,650-0076,,,,
0077,中央,○,○,葺合公民館,神戸市中央区真砂通2-1-1,078-232-4026,34.694983,135.204535,651-0081,,,,
0078,中央,○,○,勤労会館,神戸市中央区雲井通5-1-2,078-232-1881,34.6949431,135.1973800,650-0096,,,,
0079,中央,○,○,こうべ市民福祉交流センター,神戸市中央区磯上通3-1-32,078-271-5314,34.6928637,135.2017676,650-0084,,,,
0080,中央,○,○,こうべ小学校,神戸市中央区中山手通4-23-2,078-221-2539,34.6935569,135.1824700,650-0004,,,,
0081,中央,○,○,海外移住と文化の交流センター,神戸市中央区山本通3-19-8,078-272-2362,34.6974231,135.1846367,650-0008,×,,,《土砂災害時》土砂災害警戒区域外の緊急避難場所（こうべ小学校）へ避難すること
0082,中央,○,○,神戸生田中学校,神戸市中央区北長狭通4-10-1,078-334-1850,34.6899906,135.1856644,650-0012,,,,
0083,中央,○,○,山の手小学校,神戸市中央区中山手通7-31-1,078-341-8911,34.6906489,135.1757292,650-0004,,,,
0084,中央,○,○,中央図書館,神戸市中央区楠町7-2-1,078-371-3301,34.6856249,135.1741492,650-0017,,,,
0085,中央,○,○,湊翔楠中学校,神戸市中央区楠町4-2-5,078-351-2152,34.6839972,135.1716466,650-0017,,,,
0086,中央,○,○,中央体育館,神戸市中央区楠町4-1-1,078-341-7971,34.6827886,135.1744294,650-0017,,,,
0087,中央,○,○,湊小学校,神戸市中央区東川崎町1-4-1,078-360-1200,34.6768975,135.1808511,650-0044,,,×,《津波時》中央幹線（多聞通）（高速神戸駅）より北側へ避難すること
0088,中央,○,○,産業振興センター,神戸市中央区東川崎1-8-4,078-360-3214,34.6806028,135.1817956,650-0044,,,×,《津波時》中央幹線（多聞通）（高速神戸駅）より北側へ避難すること
0089,中央,○,○,こうべまちづくり会館,神戸市中央区元町通4-2-14,078-361-4523,34.6860973,135.1829065,650-0022,,,×,《津波時》山手幹線より北側へ避難すること
0090,中央,○,○,港島小学校,神戸市中央区港島中町3-2-3,078-302-1661,34.6691156,135.2122653,650-0046,,,,
0091,中央,○,○,港島中学校,神戸市中央区港島中町3-2-2,078-302-1771,34.6696569,135.2140986,650-0046,,,,
0092,中央,○,○,旧みなとじま会館,神戸市中央区港島中町1-4-2,078-322-5095,34.6733579,135.2093635,650-0046,,,,
0093,中央,○,○,神戸国際展示場,神戸市中央区港島中町6-11-1,078-302-1020,34.6637300,135.2126072,650-0046,,,,
0094,中央,○,○,ワールド記念ホール,神戸市中央区港島中町6-12-2,078-302-8781,34.6639883,135.2101714,650-0046,,,,
0095,中央,○,○,ポートアイランドスポーツセンター,神戸市中央区港島中町6-12-1,078-302-1031,34.6631078,135.2107350,650-0046,,,,
0096,中央,○,○,バンドー神戸青少年科学館,神戸市中央区港島中町7-7-6,078-302-5177,34.6659964,135.2182844,650-0046,,,,
0097,中央,○,○,神戸学院大学,神戸市中央区港島1-1-3,078-974-1551,34.6694625,135.2039939,650-0045,,,,
0098,兵庫,○,○,神戸祇園小学校 (「祇」は「ネ」偏に「氏」),神戸市兵庫区下三条町11-1,078-511-2600,34.688572,135.166266,652-0014,,,,
0099,兵庫,○,○,建設局中央水環境センター鈴蘭台処理場,神戸市兵庫区烏原町字譲原,078-521-0020,34.6984246,135.1482163,652-0001,×,,,《土砂災害時》土砂災害警戒区域外（神戸?園小学校）へ避難すること
0100,兵庫,○,○,友生支援学校,神戸市兵庫区夢野町1-1-1,078-576-6120,34.6862663,135.1603502,652-0063,,,,
0101,兵庫,○,○,夢野中学校,神戸市兵庫区鵯越町10-1,078-511-5555,34.6848186,135.1535503,652-0052,,,,
0102,兵庫,○,,夢野こどもホーム（1階地域交流スペース）,神戸市兵庫区夢野町4-3-13,078-511-3454,34.6835817,135.1562126,642-0063,,,,
0103,兵庫,○,○,夢野の丘小学校,神戸市兵庫区東山町4-20,078-521-7340,34.6816692,135.1605583,652-0823,,,,
0104,兵庫,○,○,会下山小学校,神戸市兵庫区上沢通1-3-26,078-577-1501,34.6792201,135.1652133,652-0043,,,,
0105,兵庫,○,○,湊川中学校（楠高校）,神戸市兵庫区松本通1-1-1,078-521-4874,34.6799525,135.1641303,652-0045,,,,
0106,兵庫,○,○,神港高校,神戸市兵庫区会下山町3-16-1,078-579-2000,34.6944678,135.1830617,652-0043,,,,
0107,兵庫,○,○,兵庫大開小学校,神戸市兵庫区大開通4-1-39,078-575-4773,34.6736700,135.1663192,652-0803,,,,
0108,兵庫,○,○,水木小学絞,神戸市兵庫区水木通9-1-8,078-575-8360,34.6703563,135.1594761,652-0802,,,,
0109,兵庫,○,○,兵庫中学校,神戸市兵庫区永沢町4-3-36,078-577-0744,34.6736533,135.1699550,652-0616,,,,
0110,兵庫,○,○,明親小学校,神戸市兵庫区須佐野通4-1-19,078-651-2855,34.6651625,135.1661081,652-0896,,,,
0111,兵庫,○,○,須佐野中学絞,神戸市兵庫区松原通1-1-44,078-671-4261,34.6644600,135.1697442,652-0861,,,△,《津波時》明親小学校もしくは国道2号より山側へ避難することが困難な場合は利用可
0112,兵庫,○,○,和田岬小学校,神戸市兵庫区和田宮通6-1-18,078-671-1105,34.6551500,135.1754714,652-0863,,,×,《津波時》ノエビアスタジアムへ避難すること
0113,兵庫,○,○,兵庫工業高校,神戸市兵庫区和田宮通2-1-63,078-671-1431,34.6595550,135.1737856,652-0863,,,△,《津波時》D棟３階以上へ避難すること
0114,兵庫,○,○,三菱重工業和田クラブ(神戸造船所),神戸市兵庫区和田宮通5-3-3,078-672-4482,34.6528029,135.1819191,652-0863,,,△,《津波時》ノエビアスタジアムへ避難することが困難な場合は利用可
0115,兵庫,○,○,浜山小学校,神戸市兵庫区材木町4-2,078-651-3890,34.6577497,135.1662009,652-0651,,,,
0116,兵庫,○,○,吉田中学校,神戸市兵庫区吉田町1-5-1,078-681-3545,34.6521824,135.1711849,652-0872,,,×,《津波時》ノエビアスタジアムへ避難すること
0117,兵庫,○,,高齢者ケアセンターひょうご,神戸市兵庫区里山町1-48,078-612-3335,34.6926209,135.1409349,652-0051,,,,
0118,北,○,○,鵯台中学校,神戸市北区ひよどり台1-15-31,078-743-0072,34.6940922,135.1193950,651-1123,,,,
0119,北,○,○,ひよどり台小学校,神戸市北区ひよどり台3-3,078-743-0062,34.6978361,135.1248861,651-1123,,,,
0120,北,○,○,鵯越墓園,神戸市北区山田町下谷上字中一里山12,078-621-5667,34.6935479,135.1392352,651-1243,,,,
0121,北,○,○,星和台中学校,神戸市北区星和台1-6,078-593-8400,34.7191089,135.1285742,651-1121,,,,
0122,北,○,○,星和台小学校,神戸市北区星和台6-21,078-593-8200,34.7238111,135.1237550,651-1121,,,,
0123,北,○,○,鈴蘭台中学校,神戸市北区北五葉2-10-32,078-591-4521,34.7293744,135.1325319,651-1131,,,,
0124,北,○,○,北五葉小学校,神戸市北区北五葉3-7-1,078-591-1196,34.7305658,135.1364567,651-1131,,,,
0125,北,○,○,藍那公民館,神戸市北区山田町藍那字北ノ町4-7,078-593-0303,34.73452925,135.11629727,651-1104,,,,
0126,北,○,○,君影小学校,神戸市北区君影町1-11-13,078-592-0059,34.7143622,135.1362431,651-1122,,,,
0127,北,○,○,南五葉小学校,神戸市北区南五葉3-1-1,078-591-1314,34.7220808,135.1335958,651-1132,,,,
0128,北,○,○,鈴蘭台小学校,神戸市北区鈴蘭台南町2-14-24,078-592-8181,34.7253611,135.1409536,651-1113,,,,
0129,北,○,○,神戸鈴蘭台高等学校,神戸市北区山田町下谷上字中一里山9-107,078-591-1331,34.7197425,135.1531139,651-1243,,,,
0130,北,○,○,兵庫商業高等学校,神戸市北区鈴蘭台北町1-24-1,078-591-1121,34.7275192,135.1470947,651-1111,,,,
0131,北,○,○,小部小学校,神戸市北区鈴蘭台北町3-8-1,078-591-1761,34.7296452,135.1481373,651-1111,,,,
0132,北,○,○,小部中学校,神戸市北区山田町小部字向井谷23-1,078-592-1177,34.7304383,135.1552522,651-1101,,,,
0133,北,○,○,小部東小学校,神戸市北区鈴蘭台北町7-11-22,078-592-0086,34.7277472,135.1570161,651-1111,,,,
0134,北,○,○,泉台小学校,神戸市北区泉台3-1-4,078-593-7771,34.7384094,135.1374203,651-1141,,,,
0135,北,○,○,桜の宮小学校,神戸市北区若葉台1-3-15,078-591-1009,34.7405872,135.1544244,651-1143,,,,
0136,北,○,○,桜の宮中学校,神戸市北区大脇台6-1,078-593-8001,34.7381208,135.1598575,651-1144,,,,
0137,北,○,○,大原中学校,神戸市北区大原1-19,078-581-6661,34.7459253,135.1439031,651-1222,,,,
0138,北,○,○,桂木小学校,神戸市北区桂木1-2-5,078-582-4001,34.7478194,135.1457500,651-1223,,,,
0139,北,○,○,甲緑小学校,神戸市北区緑町7-12-10,078-581-1221,34.7445700,135.1501775,651-1221,,,,
0140,北,○,○,箕谷小学校,神戸市北区松が枝町1-11,078-581-8030,34.7582989,135.1494689,651-1232,,,,
0141,北,○,○,広陵小学校,神戸市北区筑紫が丘2-9-1,078-583-0191,34.7484919,135.1652094,651-1212,,,,
0142,北,○,○,広陵中学校,神戸市北区小倉台5-1-1,078-583-1313,34.7494190,135.1698603,651-1211,,,,
0143,北,○,○,筑紫が丘小学校,神戸市北区筑紫が丘3-4-1,078-581-1006,34.7442508,135.1626847,651-1212,,,,
0144,北,○,○,山田中学校,神戸市北区山田町下谷上字宮前15,078-581-1068,34.7631097,135.1565600,651-1242,,,,
0145,北,○,○,谷上小学校,神戸市北区山田町下谷上字中上16,078-581-3351,34.7633560,135.1695683,651-1242,×,,,《土砂災害時》土砂災害警戒区域外（山田中学校）へ避難すること
0146,北,○,○,山田小学校,神戸市北区山田町中字長尾サ1,078-581-0055,34.7655384,135.1315793,651-1253,,,,
0147,北,○,○,自然休養村管理センター,神戸市北区山田町衝原字道南13-1,078-583-4980,34.7685228,135.1040874,651-1264,,,,
0148,北,○,○,花山小学校,神戸市北区花山東町3-1,078-583-1120,34.7652070,135.1851184,651-1204,,,,
0149,北,○,○,大池中学校,神戸市北区西大池2-24-3,078-581-8034,34.7722335,135.1959735,651-1201,,,,
0150,北,○,○,大池小学校,神戸市北区西大池2-24-1,078-581-8032,34.7721855,135.1985989,651-1201,,,,
0151,北,○,○,六甲が丘会館,神戸市北区東大池1-5-8,078-981-8806,34.7794996,135.2000142,651-1333,,,,
0152,北,○,○,唐櫃中学校,神戸市北区唐櫃台4-36-1,078-982-6461,34.7849856,135.2116828,651-1332,,,,
0153,北,○,○,唐櫃小学校,神戸市北区唐櫃台2-39-1,078-981-5926,34.7898350,135.2140461,651-1332,,,,
0154,北,○,○,神戸北高等学校,神戸市北区唐櫃台2-41-1,078-981-0131,34.7884603,135.2166767,651-1332,,,,
0155,北,○,○,有馬小学校,神戸市北区有馬町1274,078-904-0170,34.8009372,135.2484678,651-1302,,,,
0156,北,○,○,五社ふれあい館,神戸市北区有野町有野878-1,-,34.8051587,135.2153928,651-1312,,,,
0157,北,○,○,有馬中学校,神戸市北区有野台7-18,078-981-5101,34.8096414,135.2264669,651-1321,,,,
0158,北,○,○,有野台小学校,神戸市北区有野台2-8,078-981-5111,34.8123106,135.2256558,651-1321,,,,
0159,北,○,○,有野東小学校,神戸市北区有野台5-2,078-982-3051,34.8137606,135.2298719,651-1231,,,,
0160,北,○,○,藤原台小学校,神戸市北区藤原台南町1-13-1,078-982-5880,34.8128017,135.2081294,651-1303,,,,
0161,北,○,○,有野小学校,神戸市北区藤原台中町3-17-1,078-981-5341,34.8206678,135.2178647,651-1401,,,,
0162,北,○,○,有野中学校,神戸市北区藤原台中町5-2-1,078-982-2700,34.8220619,135.2141150,651-1302,,,,
0163,北,○,○,有野北中学校,神戸市北区藤原台北町6-4-1,078-987-3057,34.8297614,135.2231308,651-1301,,,,
0164,北,○,○,ＪＡ兵庫六甲（神戸北文化センター）,神戸市北区有野中町2-12-13,078-981-6550,34.8266315,135.2261756,651-1313,,,,
0165,北,○,○,西山小学校,神戸市北区西山1-67,078-952-1800,34.8388828,135.2182786,651-1305,,,,
0166,北,○,○,西二郎集会所,神戸市北区有野町二郎3446-2,-,34.8379940,135.2270181,651-1311,,,,
0167,北,○,○,道場小学校,神戸市北区道場町塩田1460,078-985-4016,34.86956563,135.23248537,651-1501,,×,,《水害時》地区内の別の避難場所へ避難すること
0168,北,○,○,生野自治会館,神戸市北区道場町生野285,078-985-5322,34.866292,135.250965,651-1503,,,,
0169,北,○,○,平田自治会館,神戸市北区道場町平田553,078-985-5866,34.8514614,135.2390834,651-1504,,,,
0170,北,○,○,生野高原安心コミュニティプラザ,神戸市北区道場町生野1172-1022,-,34.8511135,135.2731905,651-1503,,,,
0171,北,○,○,八多小・中学校,神戸市北区八多町附物876,078-982-0048(小)、078-982-0049(中),34.8225998,135.1956558,651-1343,,,,
0172,北,○,○,中公民館,神戸市北区八多町中1177,078-951-0303,34.854635,135.220454,651-1351,,,,
0173,北,○,○,大沢小・中学校,神戸市北区大沢町中大沢976,078-954-0310(小)、078-954-0142(中),34.8550778,135.1651806,651-1524,,,,
0174,北,○,○,上大沢ふれあい会館,神戸市北区大沢町上大沢3080,078-954-0633,34.8488791,135.1836861,651-1522,,,,
0175,北,○,○,長尾小学校,神戸市北区上津台3-4-1,078-986-2074,34.8657092,135.1944764,651-1515,,,,
0176,北,○,○,岩谷公会堂,神戸市北区長尾町上津4604,078-986-2510,34.8836095,135.1733832,651-1512,,,,
0177,北,○,○,鹿の子台小学校,神戸市北区鹿の子台北町6-34-1,078-952-1720,34.8610031,135.2183289,651-1513,,,,
0178,北,○,○,北神戸中学校,神戸市北区鹿の子台北町2-8-1,078-951-0821,34.8629167,135.2228700,651-1513,,,,
0179,北,○,○,好徳小学校,神戸市北区淡河町野瀬487,078-958-0004,34.8224556,135.1501956,651-1623,,,,
0180,北,○,○,淡河中学校,神戸市北区淡河町行原字中沢179-2,078-958-0301,34.8195472,135.1240617,651-1613,,,,
0181,北,○,○,淡河小学校,神戸市北区淡河町萩原524,078-959-0113,34.8163308,135.1021525,651-1615,,,,
0182,長田,○,○,室内小学校,神戸市長田区前原町1-17-1,078-691-0917,34.6734728,135.1543644,653-0803,,,,
0183,長田,○,○,長田公民館,神戸市長田区四番町4-51,078-575-1374,34.6697571,135.1545541,653-0004,,,,
0184,長田,○,○,夢野台高校,神戸市長田区房王寺町2-1-1,078-691-1546,34.6770833,135.1534672,653-0801,,,,
0185,長田,○,○,名倉小学校,神戸市長田区房王寺町4-7-15,078-691-6181,34.6799497,135.1479261,653-0801,△,,,《土砂災害時》避難経路の通行に注意が必要。
0186,長田,○,○,丸山中学校,神戸市長田区大丸町2-17-1,078-691-0005,34.6780025,135.1487342,653-0806,,,,
0187,長田,○,○,雲雀丘小学校,神戸市長田区雲雀ヶ丘1-1-2,078-621-6021,34.6911906,135.1347398,653-0879,,,,
0188,長田,○,○,雲雀丘中学校,神戸市長田区雲雀ヶ丘1-1-1,078-631-8748,34.6915231,135.1343131,653-0879,,,,
0189,長田,○,○,丸山小学校,神戸市長田区西丸山町3-2-1,078-691-8552,34.6864350,135.1375906,653-0874,,,,
0190,長田,○,○,総合療育センター,神戸市長田区丸山町2-3-50,078-646-5291,34.6833695,135.1400806,653-0875,,,,
0191,長田,○,○,丸山コミュニティ・センター,神戸市長田区西丸山町1-7-5,078-643-3447,34.685991,135.1409072,653-0874,,,,
0192,長田,○,○,宮川小学校,神戸市長田区長田町4-1-1,078-631-2721,34.6722262,135.1472888,653-0812,,△,,《洪水時》避難経路の通行に注意が必要
0193,長田,○,○,池田小学校,神戸市長田区池田上町19,078-691-1661,34.6678811,135.1449296,653-0824,△,,,《土砂災害時》避難経路の通行に注意が必要。
0194,長田,○,○,西代中学校,神戸市長田区上池田2-4-1,078-691-1521,34.6681814,135.1396686,653-0827,×,,,《土砂災害時》土砂災害警戒区域外の緊急避難場所へ避難すること
